idx1,idx2
268,68
268,78
268,99
268,126
268,130
268,133
268,142
268,156
268,165
268,166
268,167
268,199
268,256
268,269
268,280
268,289
269,5
269,8
269,13
269,50
269,61
269,62
269,68
269,129
269,152
269,169
269,176
269,193
269,199
269,256
269,270
269,272
269,275
269,289
269,309
269,311
271,1
271,8
271,46
271,47
271,52
271,68
271,90
271,112
271,118
271,124
271,181
271,182
271,199
271,256
271,261
271,269
271,279
271,280
271,289
271,309
271,311
273,68
273,127
273,199
273,256
273,269
273,300
274,5
274,68
274,151
274,205
274,292
275,5
275,68
275,91
275,193
276,5
276,91
276,275
278,1
278,5
278,8
278,17
278,26
278,46
278,68
278,112
278,113
278,118
278,124
278,125
278,181
278,182
278,199
278,261
278,280
278,289
278,309
278,311
279,1
279,8
279,46
279,47
279,52
279,68
279,75
279,90
279,112
279,118
279,124
279,181
279,182
279,199
279,261
279,280
279,289
279,309
279,311
280,1
280,8
280,46
280,68
280,112
280,118
280,124
280,181
280,182
280,199
280,261
280,278
280,289
280,309
280,311
281,1
281,8
281,31
281,46
281,68
281,112
281,118
281,124
281,181
281,182
281,199
281,261
281,280
281,289
281,309
281,311
282,22
282,68
282,158
283,5
283,68
283,91
283,112
283,160
284,11
285,1
285,68
285,112
285,115
285,160
285,161
285,176
285,284
286,5
286,67
286,68
286,179
287,67
287,68
287,158
287,164
288,68
288,130
288,167
289,68
289,311
290,68
290,130
290,183
290,184
290,309
290,311
291,1
291,5
291,8
291,25
291,28
291,46
291,47
291,68
291,77
291,107
291,112
291,116
291,118
291,130
291,131
291,133
291,135
291,144
291,158
291,160
291,176
291,183
291,204
291,208
291,292
291,293
291,301
291,309
291,311
292,68
292,118
292,130
292,131
292,144
292,183
292,309
293,68
293,118
293,130
293,144
293,204
293,291
294,5
294,25
294,68
294,106
294,107
294,112
294,116
294,130
294,291
295,5
295,68
295,91
295,112
295,160
296,68
296,199
297,5
297,68
297,199
297,291
297,298
298,68
298,199
300,5
300,50
300,68
300,127
300,199
300,269
300,291
301,1
301,68
301,116
301,119
301,128
301,144
301,160
301,165
301,173
301,174
301,176
301,193
301,204
301,292
301,311
302,5
302,68
302,304
303,5
303,68
303,79
303,112
303,160
303,193
303,302
303,306
305,68
305,112
305,160
305,193
306,68
308,5
308,68
308,80
308,309
309,68
310,39
311,68
312,311
