out,in
tesseract-langpack-chr,tesseract
kf5-knewstuff,kf5-ki18n
bpg-sans-fonts,bpg-fonts-common
tesseract-langpack-cat,tesseract
tesseract-langpack-ceb,tesseract
kf5-kdesu,libX11
tesseract-langpack-cym,tesseract
libreofficekit,glibc
tesseract-langpack-cos,tesseract
gedit-plugin-wordcompletion,pango
gedit-plugin-smartspaces,gedit-plugins-data
startup-notification,xcb-util
NetworkManager-wifi,libgcc
pcp-pmda-gpsd,perl-Time-HiRes
usbguard,libgpg-error
java-1.8.0-openjdk-headless-slowdebug,nss
rpm-plugin-prioreset,elfutils-libelf
openscap-scanner,bzip2-libs
rpmlint,platform-python
slirp4netns,libslirp
evolution,gvfs
evolution,nspr
cheese,libXext
pcp-testsuite,glibc
boost-container,libstdc++
libreofficekit,glib2
samba-winbind-clients,samba-client-libs
samba-winbind-clients,samba-common-libs
chrony,systemd
system-config-printer-libs,python3-gobject
samba-client-libs,samba-common
perl-App-cpanminus,perl-PathTools
mesa-libOSMesa,glibc
ipa-client,krb5-libs
libblockdev-nvdimm,libblockdev-utils
glib2-fam,libselinux
maven-doxia-sitetools,maven-doxia-sink-api
perl-Digest-SHA1,perl-Exporter
fcitx-libs,libuuid
python3-ipaclient,python3-jinja2
libcanberra-gtk3,gtk3
libXcursor,libXfixes
python2-lxml,python2-libs
libreoffice-calc,libreoffice-core
ptscotch-openmpi,openmpi
qemu-kvm-core,librdmacm
python3-requests-oauthlib,python3-oauthlib
python3-unbound,openssl-libs
perl-TermReadKey,perl-Exporter
python3-qt5,qt5-qtx11extras
libpurple,python3-dbus
policycoreutils-gui,bash
lohit-bengali-fonts,fontpackages-filesystem
nscd,audit-libs
ostree-libs,libselinux
dde,dde-qt5integration
libreoffice-writer,libstaroffice
gstreamer1-plugins-ugly-free,libdvdread
gcc-toolset-11-libgccjit-docs,bash
libreoffice-pdfimport,zlib
texlive-xdvi,libSM
perl-IO-Tty,perl-Carp
cogl,libXext
tracker-miners,libiptcdata
deepin-reader,libstdc++
python38-py,python38-setuptools
deepin-devicemanager,zeromq3
dbus-x11,dbus-libs
system-lsb-core,cockpit-system
redhat-lsb-submod-security,nss
lua-libs,glibc
autoconf,info
perl-core,perl-Test
rpm-sign,elfutils-libelf
geoclue2,json-glib
plexus-io,apache-commons-io
mingw64-gcc-c++,gmp
mingw32-gcc-c++,gmp
deepin-devicemanager,dtkcore
kwin-libs,kf5-plasma
libcgroup-tools,libcgroup
frei0r-plugins,glibc
ipxe-roms,ipxe-roms-qemu
rust,rust-std-static
kmod-libs,glibc
kwin-libs,glibc
gcc-toolset-10-dyninst,elfutils-libelf
gcc-toolset-11-dyninst,elfutils-libelf
frei0r-plugins,cairo
wsmancli,libwsman1
nss-pam-ldapd,bash
texlive-collection-latexrecommended,texlive-underscore
libcephfs2,boost-date-time
xmlsec1-gnutls,gnutls
texlive-collection-latexrecommended,texlive-sansmath
389-ds-base-snmp,openssl-libs
gnome-keyring-pam,pam
libvirt-daemon-driver-qemu,glibc
spice-server,zlib
rrdtool-tcl,environment-modules
cracklib-dicts,cracklib
xorg-x11-apps,libXrender
maven-shade-plugin,jdom
pinentry-gnome3,pango
powertop,bash
kscreenlocker,kf5-kconfig-gui
libreoffice-langpack-pa,hyphen-pa
gnome-disk-utility,gdk-pixbuf2
perl-FileHandle,perl-IO
stix-fonts,fontpackages-filesystem
libvirt-daemon-driver-qemu,glib2
gnuplot,cairo
aqute-bnd,javapackages-filesystem
texlive-geometry,texlive-base
gspell,cairo
libvirt-libs,libcap-ng
geoclue2,dbus
memtest86+,util-linux
nbdkit-basic-plugins,glibc
plexus-containers,plexus-pom
python38-cryptography,openssl-libs
texlive-latex-fonts,texlive-kpathsea
libdde-file-manager,libgcc
trousers-lib,openssl-libs
maven-reporting-impl,plexus-utils
libvirt-daemon-driver-storage-core,libselinux
yum-utils,dnf-plugins-core
perl-App-cpanminus,perl-Getopt-Long
gnome-software,iso-codes
shim-x64,efi-filesystem
gcc-toolset-9-gcc-c++,gcc-toolset-9-gcc
freerdp-libs,libxkbfile
perl-Test-Simple,perl-Scalar-List-Utils
libradosstriper1,boost-program-options
tracker-miners,libgsf
qt5-qtwebengine,alsa-lib
perl-Text-Diff,perl-libs
perl-Text-Glob,perl-libs
kdump-anaconda-addon,hicolor-icon-theme
perl-LWP-Protocol-https,perl-libs
dde-launcher,libstdc++
texlive-pdftex,coreutils
anaconda-dracut,bash
qpdf,libgcc
amanda-client,openssl-libs
perl-DateTime-Format-ISO8601,perl-interpreter
inkscape-view,gdk-pixbuf2
tmpwatch,psmisc
python3-requests-file,python3-requests
pcp-import-ganglia2pcp,perl-TimeDate
clang-analyzer,perl-Term-ANSIColor
apcu-panel,php
fontforge,gdk-pixbuf2
mariadb-server,pcre2
libguestfs-man-pages-ja,libguestfs
libguestfs-man-pages-uk,libguestfs
python3-cryptography,openssl-libs
emacs-lucid,cairo
pcp-pmda-postgresql,pcp-libs
xorg-x11-font-utils,pkgconf-pkg-config
tengine,systemd
open-vm-tools-desktop,open-vm-tools
perl-XML-SAX,perl-constant
oddjob,psmisc
perl-App-cpanminus,perl-File-pushd
mariadb-server,glibc
qemu-kvm-block-gluster,qemu-kvm-common
netcf-libs,libgcrypt
sssd-winbind-idmap,libsss_nss_idmap
gnome-initial-setup,gdm
uid_wrapper,cmake-filesystem
pavucontrol,cairo
coreutils,glibc
gcc-toolset-9-dyninst-testsuite,gcc-toolset-9-dyninst
qt5-qtserialport,glibc
logwatch,mailx
gutenprint-plugin,gutenprint-libs-ui
lightdm-gtk-greeter-settings,bash
device-mapper-event,libgcc
maven-plugin-tools-annotations,qdox
bind9.16-dnssec-utils,lmdb-libs
bind9.16-dnssec-utils,krb5-libs
rpm-build,rpm-build-libs
java-17-openjdk-headless-slowdebug,libjpeg-turbo
java-11-openjdk-headless-slowdebug,libjpeg-turbo
qgnomeplatform,pango
libomp,ncurses-libs
perl-JSON-PP,perl-constant
google-noto-sans-lepcha-fonts,bash
php-fpm,httpd-filesystem
powertop,libstdc++
selinux-policy-sandbox,selinux-policy-targeted
dbusmenu-qt5,qt5-qtbase
fcitx-table,fcitx-libs
kf5-knotifications,libstdc++
libXrandr,libX11
openscap-scanner,xmlsec1-openssl
libreoffice-langpack-bg,hyphen-bg
fence-agents-common,platform-python
p11-kit-trust,bash
pcp-pmda-netcheck,pcp
pacemaker,platform-python
ghostscript-x11,ghostscript
mod_auth_mellon-diagnostics,mod_auth_mellon
vino,glibc
spice-glib,openssl-libs
usbguard-notifier,bash
hunspell-es-UY,hunspell
hunspell-es-BO,hunspell
hunspell-es-NI,hunspell
hunspell-es-CO,hunspell
hunspell-es-US,hunspell
hunspell-en-GB,hunspell
perl-Digest-SHA,perl-Getopt-Long
pcp-pmda-systemd,pcp-libs
hunspell-es-EC,hunspell
pcp-pmda-unbound,pcp-libs
perl-Exporter-Tiny,perl-libs
dhcp-relay,libcom_err
libavdevice,libdrm
metacity,libICE
ipa-server,samba-client-libs
bind-dyndb-ldap,glibc
java-11-alibaba-dragonwell-headless-slowdebug,libjpeg-turbo
fwupd,libgcc
libpeas,gobject-introspection
gcc-toolset-11-gdb,libgcc
gcc-toolset-10-gdb,libgcc
vino,glib2
iputils-ninfod,bash
google-noto-sans-phoenician-fonts,fontpackages-filesystem
perl-Pod-Coverage,perl-constant
perl-HTTP-Daemon,perl-IO-Socket-IP
tang,sed
plasma-breeze,kdecoration
qt5-qtwebsockets,qt5-qtbase
clang-analyzer,platform-python
opencv-core,openblas
php-intl,libicu
nvme-cli,libgcc
dotnet-hostfxr-3.0,libstdc++
maven-enforcer-plugin,maven-plugin-testing-harness
perl-Convert-ASN1,perl-Socket
texlive-collection-xetex,texlive-xetexconfig
texlive-collection-latexrecommended,texlive-parskip
autogen,perl-interpreter
krb5-workstation,keyutils-libs
perl-Module-Build,perl-inc-latest
ee4j-parent,java-1.8.0-openjdk-headless
kf5-plasma,kf5-kpackage
tigervnc-selinux,policycoreutils-python-utils
virt-viewer,desktop-file-utils
cheese,mesa-libgbm
dnssec-trigger,glibc
maven-doxia-core,httpcomponents-client
hyphen-pa,hyphen
kscreenlocker,kf5-kcoreaddons
pki-symkey,nspr
sssd-krb5,openssl-libs
python3-cffi,libffi
util-linux,ncurses-libs
uglify-js,ctdb
libreoffice-core,libjpeg-turbo
redhat-lsb-core,cups-client
pcp-pmda-postgresql,python3-pcp
kf5-kemoticons,glibc
java-17-openjdk-headless-slowdebug,crypto-policies
java-11-openjdk-headless-slowdebug,crypto-policies
xorg-x11-drv-ati,glibc
cairo-gobject,glibc
startdde,bash
tuned,polkit
mpv,jack-audio-connection-kit
gcc-toolset-9-dwz,elfutils-libelf
json-c,glibc
dde-launcher,dtkcore
anaconda-widgets,platform-python
pcp-export-pcp2zabbix,pcp-libs
texlive-metalogo,texlive-graphics
rubygem-rbs,ruby
spamassassin,perl-Encode-Detect
nfs-utils,coreutils
system-lsb-core,sed
gedit-plugin-drawspaces,libpeas-gtk
udftools,readline
cyrus-sasl-sql,libpq
gtk2,libXrender
gnutls-dane,glibc
cyrus-sasl-md5,glibc
cyrus-sasl-lib,glibc
cyrus-sasl-lib,libdb
cairo-gobject,glib2
cyrus-sasl-gs2,glibc
cyrus-sasl-sql,glibc
evolution-ews,libxml2
evolution-pst,libxml2
libtasn1-tools,glibc
lldpd,libevent
perl-IPC-System-Simple,perl
rpm-libs,libzstd
perl-DateTime,perl-libs
cifs-utils,krb5-libs
imsettings,libnotify
perl-IPC-Run,perl-Errno
kf5-kinit,kf5-kio-core-libs
podman,libgpg-error
maven-plugin-build-helper,plexus-utils
bacula-client,libacl
kf5-kdelibs4support-libs,kf5-kio-core-libs
javassist-javadoc,javapackages-filesystem
java-11-alibaba-dragonwell-devel-fastdebug,glibc
bacula-client,libgcc
nss-tools,nss
kexec-tools,elfutils-libelf
bacula-client,libcap
groff,groff-base
gnome-session,libXcomposite
colord-gtk,glib2
gvfs-archive,p11-kit
openmpi,zlib
kf5-kwallet-libs,kf5-kwallet
openssl,zlib
openssh,zlib
gnome-logs,cairo
systemtap-server,bash
openslp,zlib
grub2-tools,gettext
texlive-lm,texlive-base
kwin-wayland,kf5-kglobalaccel-libs
bacula-storage,systemd
dotnet-templates-6.0,dotnet-host
gawk,readline
xmvn-minimal,plexus-containers-component-annotations
gnome-terminal,dbus-x11
nvme-cli,bash
texlive-eqparbox,texlive-base
maven-surefire-report-parser,maven-reporting-api
pcp-export-pcp2influxdb,python3-pcp
colord-gtk,glibc
python3-brotli,libstdc++
mariadb,bash
sssd-krb5,libref_array
buildah,libassuan
maven-plugin-tools,java-1.8.0-openjdk-headless
qt5-qtdeclarative,qt5-qtbase
gnome-terminal,libgcc
maven-script-beanshell,maven-plugin-registry
ocaml-cppo,glibc
gjs,libffi
kf5-kparts,kf5-kconfig-gui
gpac-libs,libmad
perl-libintl-perl,perl-Exporter
npm,389-ds-base
spamassassin,systemd
unique,dbus-libs
yp-tools,glibc
gcc-toolset-11-strace,libzstd
gcc-toolset-10-strace,libzstd
pcp-testsuite,gzip
openwsman-server,sblim-sfcc
rubygem-json,glibc
systemtap-client,glibc
plymouth-plugin-throbgress,systemd-libs
glassfish-fastinfoset,xsom
soundtouch,libgcc
tk,tcl
python2-coverage,python2-libs
kf5-kdelibs4support-libs,kf5-kparts
redhat-rpm-config,coreutils
libcanberra,sound-theme-freedesktop
mpitests-mvapich2,libgcc
latex2html,perl-PathTools
maven-hawtjni-plugin,javapackages-filesystem
perl-Data-UUID,perl-Digest-MD5
acpid,systemd
util-linux,pam
kf5-kguiaddons,glibc
nbdkit-ssh-plugin,nbdkit-server
perl-JSON,perl-libs
qt5-qttools-examples,qt5-qttools-libs-help
bind-sdb,openldap
libguestfs-inspect-icons,icoutils
python2-tools,389-ds-base
pcp-pmda-postfix,postfix-perl-scripts
lucene++,boost-regex
gnome-initial-setup,libwayland-cursor
eclipse-swt,pango
libreoffice-x11,cairo
openbox-kde,bash
gcc-toolset-9-valgrind,perl
setroubleshoot-server,python3-pydbus
flatpak-builder,glib2
pidgin,libpurple
pakchois,glibc
dhcp-server,libcom_err
libvirt-lock-sanlock,sanlock-lib
kf5-kio-core-libs,kf5-kdbusaddons
foomatic,bash
gstreamer1-plugins-base,opus
rubygem-rss,ruby-libs
texlive-philokalia,texlive-kpathsea
pidgin,gtk2
boost-type_erasure,boost-thread
flatpak-builder,glibc
qt5-qdbusviewer,libglvnd-glx
maven,plexus-cipher
perl-MailTools,perl-libnet
meson,platform-python
libdde-file-manager,qt5-qtbase-gui
texlive-collection-latex,texlive-pspicture
papi-testsuite,papi-libs
abrt-libs,glib2
avahi-ui-gtk3,glibc
sane-backends-daemon,bash
man-db,groff-base
plymouth-plugin-label,pango
fence-agents-bladecenter,openssh-clients
greenboot,bash
virt-v2v,glib2
maven-shared-io,plexus-utils
perl-Package-DeprecationManager,perl-Carp
openldap-servers,glibc
openldap-clients,glibc
mingw32-binutils,mingw-binutils-generic
mingw64-binutils,mingw-binutils-generic
kf5-kdeclarative,libepoxy
qemu-kvm-core,lzo
rpm-plugin-selinux,selinux-policy-minimum
virt-v2v,glibc
vhostmd,libxml2
gegl,SDL
perl-core,perl-Pod-Checker
sssd-krb5,sssd-krb5-common
perl-Memoize,perl-libs
abrt-libs,glibc
avahi-ui-gtk3,glib2
python3-samba,python3-ldb
bind9.16,libcom_err
boost-wave,libgcc
readonly-root,hostname
google-noto-sans-gurmukhi-ui-fonts,bash
acpica-tools,bash
libguestfs-tools-c,vim-minimal
python3-babel,python3-pytz
libradosstriper1,boost-iostreams
hwloc-gui,glibc
liblognorm,glibc
libreoffice-langpack-nb,hunspell-nb
gnome-photos,libxml2
qt5-qtserialbus-examples,libstdc++
colord,libgcc
libreoffice-writer,bash
xfsprogs,libuuid
conmon,libgcc
ocaml-libnbd,glibc
libreoffice-core,dejavu-sans-fonts
cockpit-ws,glibc
spamassassin,perl-Getopt-Long
x265-libs,libgcc
gnome-terminal-nautilus,cairo-gobject
maven-doxia-core,plexus-containers-container-default
perl-Dumpvalue,perl-libs
cpp,zlib
hunspell-hsb,hunspell
plasma-breeze,kf5-ki18n
sssd-ipa,libsemanage
gnome-control-center,pulseaudio-libs
logwatch,perl-Sys-MemInfo
cyrus-imapd-utils,perl-File-Path
gnome-photos,libsoup
python38-cryptography,glibc
gnome-photos,tracker
spice-glib,libcacard
texlive-filehook,texlive-base
texlive-fontbook,texlive-base
perl-Class-ISA,perl
maven-invoker-plugin,maven-reporting-impl
perl-Unicode-LineBreak,libthai
perl-HTTP-Date,perl-Exporter
fcitx-table,fcitx-data
ocaml-ocamldoc,ocaml
metis,libgomp
ocaml-ocamldoc,glibc
pcp-testsuite,pcp-pmda-netfilter
libvirt-daemon-driver-storage,bash
kf5-knewstuff,libgcc
cockpit-ws,glib2
libfreehand,zlib
coreos-installer-bootinfra,xz-libs
deepin-editor,dtkwidget
abrt-java-connector,libreport
libcgroup-tools,clevis-systemd
texlive-pst-tools,texlive-kpathsea
ffmpeg-libs,vo-amrwbenc
kwin-libs,kf5-ki18n
perl-Specio,perl-libs
grub2-tools,dracut
kf5-frameworkintegration-libs,kf5-kconfig-gui
hunspell-qu,hunspell
llvm-libs,libstdc++
amanda-client,perl-File-Path
openssl-pkcs11,babassl
perl-Memoize,perl
fuse-libs,glibc
file-libs,glibc
nm-connection-editor,gtk3
nghttp2,glibc
qt5-qtwebengine,nss
accountsservice,shadow-utils
amanda,libcurl
emacs-lucid,libSM
kf5-kdesu,kf5-kcoreaddons
opa-fastfabric,libibumad
rpm-build,bzip2-libs
swtpm,libtpms
perl-less,perl-libs
greenboot,rpm-ostree
grilo-plugins,avahi-libs
mingw64-gstreamer1,mingw64-gcc
mingw32-gstreamer1,mingw32-gcc
ibacm,libibverbs
clevis-luks,clevis
jackson-databind,javapackages-filesystem
deepin-shortcut-viewer,qt5-qtbase-gui
kscreenlocker,kf5-kglobalaccel-libs
apache-commons-net,javapackages-filesystem
plymouth-plugin-throbgress,plymouth-core-libs
xorg-x11-server-utils,libXrender
exiv2,exiv2-libs
perl-Storable,perl-Exporter
systemd-journal-remote,firewalld-filesystem
rpcbind,policycoreutils
kf5-kio-file-widgets,kf5-kjobwidgets
texlive-pst-grad,texlive-base
libappindicator-gtk3,libdbusmenu-gtk3
maven-failsafe-plugin,maven-shared-utils
sssd-ad,libtdb
texlive-dvisvgm,texlive-base
gstreamer1-plugins-bad-free,libxml2
pcp-pmda-zswap,389-ds-base
openwsman-server,pam
kf5-kdesignerplugin,glibc
libnumbertext,libstdc++
boost-graph-openmpi,libgcc
apache-commons-lang-javadoc,javapackages-filesystem
pcp-import-iostat2pcp,perl
plymouth-plugin-throbgress,zlib
spice-gtk,spice-glib
nvme-cli,util-linux
python3-librepo,libgpg-error
mpv-libs,libdvdnav
util-linux,libfdisk
shared-mime-info,bash
python3-hawkey,python3-libs
gawk,gmp
maven-plugin-plugin,javapackages-filesystem
texlive-bidi,texlive-graphics
dump,bzip2-libs
texlive-bera,texlive-graphics
maven-resources-plugin,plexus-interpolation
libsolv,libzstd
f32-backgrounds-animated,f32-backgrounds-base
fltk,libXfixes
maven-dependency-plugin,maven-lib
imsettings-gsettings,imsettings-libs
gedit-plugin-bookmarks,gedit-plugins-data
texlive-bidi,texlive-paralist
jakarta-oro,java-1.8.0-openjdk-headless
libconfig,libstdc++
texlive-ntgclass,texlive-base
ibus-typing-booster,bash
redhat-lsb-desktop,mesa-libGLU
apache-commons-io-javadoc,javapackages-filesystem
python3-scons,platform-python
perl-Authen-SASL,perl
texlive-context,texlive-amsfonts
python38-numpy,openblas-threads
perl-vars,perl
dde-launcher,xcb-util-wm
shadow-utils,glibc
perl-DateTime-Format-HTTP,perl-interpreter
keybinder3,libXext
gcc-toolset-9-systemtap-server,initscripts
resource-agents,hostname
bind-sdb,krb5-libs
python38-numpy-f2py,python38
gnome-initial-setup,libXdamage
perl-Locale-Codes,perl-constant
virt-what,glibc
deepin-system-monitor,dtkcore
libvmmalloc,glibc
gvnc,gnutls
pki-servlet-4.0-api,javapackages-filesystem
libvirt-libs,cyrus-sasl
guice-jndi,javapackages-filesystem
vinagre,avahi-glib
google-noto-serif-kannada-fonts,google-noto-fonts-common
perl-PCP-LogImport,glibc
bind-utils,libcom_err
volume_key-libs,nss
irssi,perl-Carp
pipewire0.2-libs,sbc
rubberband,libgcc
kf5-kio-widgets,kf5-kio-widgets-libs
system-lsb,bash
yelp,bzip2-libs
groff-base,bash
java-11-openjdk-headless-fastdebug,lcms2
java-17-openjdk-headless-fastdebug,lcms2
netavark,libgcc
boost-program-options,glibc
python3-google-api-client,python3-oauth2client
perl-IPC-SysV,glibc
libgovirt,libxml2
xorg-x11-server-Xwayland,libXfont2
nautilus-extensions,glibc
kf5-kdesu,qt5-qtbase
perltidy,perl-Encode
pipewire-libs,alsa-lib
mockito,java-1.8.0-openjdk-headless
dde-desktop,dde-file-manager
perl-Module-Build,perl-PathTools
gvfs,bash
perl-YAML-LibYAML,glibc
perl-CPAN,perl-ExtUtils-MakeMaker
pacemaker-cli,tar
dde-qt5xcb-plugin,libxkbcommon
maven-invoker-plugin,maven-doxia-sink-api
libXinerama,libXext
perl-core,perl-Pod-Html
quota-warnquota,glibc
kf5-knewstuff,kf5-attica
PackageKit,polkit-libs
texlive-collection-latex,texlive-fix2col
evolution-bogofilter,libsecret
nautilus-extensions,glib2
sblim-wbemcli,libstdc++
deepin-terminal,dde-qt-dbus-factory
gupnp,glibc
cups-libs,gnutls
splix,libgcc
containernetworking-plugins,glibc
libreoffice-graphicfilter,libodfgen
mythes-bg,mythes
dpa-ext-gnomekeyring,qt5-qtbase
xdg-user-dirs-gtk,atk
imsettings,chkconfig
sip,bash
java-11-alibaba-dragonwell-javadoc-zip,javapackages-filesystem
motif,libX11
bacula-client,glibc
patchutils,perl
compat-openssl10,crypto-policies
gupnp,glib2
docbook2X,openjade
rust-std-static-wasm32-unknown-unknown,rust
plymouth,plymouth-scripts
util-linux,ModemManager
linuxdoc-tools,glibc
maven-resolver-transport-http,httpcomponents-core
linuxdoc-tools,groff
python3-sphinx_rtd_theme,lato-fonts
xorg-x11-server-Xorg,audit-libs
fcitx-libs,libXfixes
java-1.8.0-alibaba-dragonwell-headless-slowdebug,cups-libs
libreoffice-core,gstreamer1-plugins-base
xorg-x11-utils,libXrandr
python3-sss,popt
pinentry-gnome3,gdk-pixbuf2
gnome-settings-daemon,libX11
libreoffice-writer,liblangtag
powermock-javadoc,javapackages-filesystem
util-linux-user,libuser
python39-pyyaml,libyaml
mutter,gnome-desktop3
totem-pl-parser,libgcrypt
device-mapper-event,device-mapper-event-libs
perl-Test-Simple,perl-Term-Table
perl-Data-UUID,glibc
speech-dispatcher-espeak-ng,glibc
ibus-gtk2,glib2
libgphoto2,libtool-ltdl
gnome-settings-daemon,colord
texlive-pstricks,texlive-koma-script
gnome-settings-daemon,libgcc
sg3_utils,sg3_utils-libs
java-11-alibaba-dragonwell-headless,libgcc
jflex,javapackages-tools
evolution-data-server,libcom_err
HdrHistogram_c,glibc
gnome-settings-daemon,upower
gcc-toolset-11-systemtap-runtime,nss
gcc-toolset-10-systemtap-runtime,nss
perl-Test2-Suite,perl-Test-Simple
perl-filetest,perl-libs
speech-dispatcher-espeak-ng,glib2
ibus-gtk2,glibc
cyrus-imapd,libicu
texlive-lastpage,texlive-kpathsea
texlive-lettrine,texlive-kpathsea
python38-libs,libffi
kde-settings,bash
kf5-kio-widgets-libs,libacl
python38-pytz,tzdata
gdk-pixbuf2,glibc
libmpc,mpfr
glib2,glibc
python3-subversion,cyrus-sasl-lib
fontconfig,coreutils
boost-signals,libstdc++
evolution-bogofilter,evolution
squid,krb5-libs
texlive-powerdot,texlive-hyperref
gvfs-smb,gcr
ipa-client,platform-python
xmlsec1-gnutls,xmlsec1
rpm-plugin-prioreset,libacl
gvfs,avahi-glib
zenity,gdk-pixbuf2
ipa-server-dns,platform-python
gnome-software,libgudev
python3-qt5,qt5-qtconnectivity
boost-locale,glibc
texlive-fontwrap,texlive-kpathsea
xdg-desktop-portal,fuse
amanda-server,perl-constant
libreoffice-gtk3,gstreamer1-plugins-good-gtk
gegl,suitesparse
execstack,util-linux
java-1.8.0-openjdk-fastdebug,glibc
java-1.8.0-openjdk-slowdebug,glibc
gdk-pixbuf2,glib2
kf5-kcrash,qt5-qtbase-gui
rpm-build-libs,ima-evm-utils
m17n-lib,libthai
libselinux-ruby,ruby-libs
network-scripts,glibc
gavl,libgdither
pacemaker,libuuid
lftp-scripts,perl-DBI
texinfo,perl-Exporter
perl-Algorithm-Diff,perl-interpreter
mailman,python2
389-ds-base,systemd
gcc-toolset-10-dyninst,boost-thread
gcc-toolset-11-dyninst,boost-thread
perl-namespace-clean,perl-interpreter
tesseract,libstdc++
onboard,onboard-data
libreoffice-langpack-th,libreoffice-core
libreoffice-langpack-et,libreoffice-core
libreoffice-langpack-nb,libreoffice-core
libreoffice-langpack-sr,libreoffice-core
libreoffice-langpack-kn,libreoffice-core
libreoffice-langpack-xh,libreoffice-core
libreoffice-langpack-nr,libreoffice-core
libreoffice-langpack-ts,libreoffice-core
libreoffice-langpack-es,libreoffice-core
libreoffice-langpack-hr,libreoffice-core
usbguard,audit-libs
createrepo_c-libs,bzip2-libs
atlas-corei2,libgfortran
pipewire0.2-libs,systemd-libs
exfat-utils,glibc
mousetweaks,libXfixes
erofs-utils,glibc
gcc-toolset-9,gcc-toolset-9-perftools
libreoffice-pyuno,libreoffice-core
grub2-efi-ia32,grub2-tools-minimal
gcc-toolset-9-gcc-gdb-plugin,glibc
seahorse,libsecret
cifs-utils,bash
kwin-common,kf5-knewstuff
texlive-titling,coreutils
java-1.8.0-alibaba-dragonwell-fastdebug,libX11
shadow-utils,coreutils
which,coreutils
cups-filters-libs,libjpeg-turbo
glusterfs-rdma,librdmacm
dconf,glibc
systemtap-runtime,bash
kf5-kwallet-libs,libgcrypt
usbguard-notifier,librsvg2
xorg-x11-drv-nouveau,systemd-libs
krb5-pkinit,glibc
perl-Test-LongString,perl-Exporter
python3-abrt-addon,python3-systemd
ModemManager,ModemManager-glib
nginx-all-modules,nginx-mod-http-perl
network-manager-applet,atk
perl-Data-Dumper,glibc
ModemManager-glib,glib2
selinux-policy,rpm-plugin-selinux
pgaudit,glibc
sqlite,zlib
flatpak,flatpak-session-helper
mingw64-cpp,mpfr
mingw32-cpp,mpfr
libmatchbox,libpng
abrt-plugin-sosreport,sos
texlive-xmltex,texlive-collection-latexrecommended
dde-session-ui,libglvnd-glx
autoconf,perl-Getopt-Long
automake,perl-Getopt-Long
supermin,tar
drpm,zlib
udisks2-qt5,glibc
dconf,glib2
pcp-testsuite,pcp-pmda-sendmail
gcc-toolset-10,gcc-toolset-10-perftools
readonly-root,pcp
perl-ExtUtils-MakeMaker,perl-Data-Dumper
maven-model,javapackages-filesystem
pcs,python3-pyOpenSSL
xsane-gimp,pango
ModemManager-glib,glibc
boost,boost-regex
dde,dde-api
anaconda,anaconda-install-env-deps
kf5-kio-widgets-libs,kf5-kcodecs
libreoffice-langpack-fa,hyphen-fa
opencv-core,libgcc
libxcb,glibc
resource-agents,procps-ng
urw-base35-standard-symbols-ps-fonts,xorg-x11-font-utils
java-1.8.0-openjdk-fastdebug,xorg-x11-fonts-Type1
java-1.8.0-openjdk-slowdebug,xorg-x11-fonts-Type1
sos,platform-python
enchant2,aspell
usbguard-selinux,policycoreutils-python-utils
libblockdev-dm,glibc
libreoffice-langpack-fr,mythes-fr
libblockdev-fs,glibc
java-11-alibaba-dragonwell-headless,lcms2
python3-kmod,glibc
gnome-screenshot,glib2
libpng15,zlib
perl-Unicode-UCD,perl-Unicode-Normalize
python3-libdnf,libmodulemd
perl-Test2-Suite,perl-Exporter
texlive-xtab,texlive-kpathsea
texlive-xdvi,texlive-kpathsea
perl-constant,perl
perl-File-Find-Object,perl-interpreter
libpeas-loader-python3,python3-gobject
systemd-udev,libacl
libblockdev-dm,glib2
texlive-mnsymbol,texlive-tetex
dbxtool,systemd
maven-wagon-http,plexus-utils
libblockdev-fs,glib2
gnome-screenshot,glibc
nginx-all-modules,nginx-mod-stream
texlive-l3kernel,texlive-csquotes
mingw64-libpng-static,mingw64-libpng
libreoffice-core,harfbuzz
openscap-python3,libacl
opensm,systemd
docbook-utils,perl-libs
jakarta-commons-httpclient,java-1.8.0-openjdk-headless
sssd-common,libref_array
libreoffice-wiki-publisher,libreoffice-core
texlive-jadetex,texlive-pdftex
texlive-tipa,texlive-base
texlive-tabu,texlive-base
gnome-bluetooth,pulseaudio-module-bluetooth
texlive-collection-basic,texlive-tex
hypervfcopyd,hyperv-daemons-license
mariadb-oqgraph-engine,glibc
systemd,zlib
java-11-alibaba-dragonwell-javadoc-zip,chkconfig
pcs,platform-python-setuptools
fence-agents-heuristics-ping,fence-agents-common
python38-PyMySQL,python38-cryptography
perl-overload,perl
os-prober,device-mapper
libglvnd-opengl,libglvnd
rpm-plugin-selinux,lua-libs
fence-agents-vmware-rest,platform-python
kdecoration,kf5-ki18n
genwqe-vpd,glibc
uom-parent,java-1.8.0-openjdk-headless
certmonger,libtevent
sssd-kcm,libini_config
gcc-toolset-11-gdb,readline
gcc-toolset-10-gdb,readline
rpm-ostree-libs,glib2
libreport-plugin-reportuploader,libreport-web
kf5-kio-core,kf5-kwindowsystem
python39-libs,glibc
libxudp-tools,gupnp-igd
python39-lxml,glibc
google-noto-sans-oriya-ui-fonts,bash
perl-FindBin,perl
google-noto-sans-khmer-ui-fonts,bash
perl-Test-Pod,perl-Test-Simple
boost-graph-mpich,libstdc++
nfs-utils,libblkid
texlive-mflogo-font,texlive-base
ffmpeg-libs,srt-libs
