out,in
ibus-kkc,ibus
dotnet-runtime-5.0,zlib
dracut-tools,dracut
thai-scalable-garuda-fonts,thai-scalable-fonts-common
virt-install,libvirt-client
texlive-xkeyval,texlive-base
texlive-xecolor,texlive-base
texlive-xstring,texlive-base
perl,glibc
perf,glibc
texlive-xifthen,texlive-base
texlive-xeindex,texlive-base
samba-client,libarchive
libdde-file-manager,libxml2
perl-Sys-CPU,perl-interpreter
vino,libICE
perl,perl-Devel-PPPort
java-11-alibaba-dragonwell,java-1.8.0-alibaba-dragonwell-headless
xapian-core,xapian-core-libs
java-1.8.0-openjdk-headless-slowdebug,libgcc
system-lsb-core,system-lsb-submod-security
pcs,coreutils
bsdcpio,zlib
pcp-testsuite,pcp-pmda-ds389
mpitests-mvapich2,libstdc++
grub2-tools-extra,freetype
sssd-ad,libsss_certmap
dpdk-tools,python36
libvirt-daemon-driver-qemu,libxml2
ldb-tools,glibc
kf5-frameworkintegration-libs,kf5-kwidgetsaddons
fuse3,fuse3-libs
python3-cffi,glibc
redhat-support-lib-python,python3-requests
python3-pillow-tk,python3-tkinter
perl-Archive-Zip,perl
python3-lesscpy,platform-python
libucil,libunicap
kf5-kdelibs4support,kf5-kio-file-widgets
kf5-kunitconversion,glibc
rubygem-net-telnet,ruby-libs
fusesource-pom,java-1.8.0-openjdk-headless
python3-sqlalchemy,python3-libs
python2-sqlalchemy,python2-libs
uom-systems,uom-se
389-ds-base,openssl-libs
device-mapper-multipath-libs,glibc
nydus-rs,bash
cheese-libs,libX11
torque,glibc
initscripts,popt
python39-libs,openssl-libs
cockpit-ws,krb5-libs
authd,openssl
redhat-lsb-languages,perl-CGI
mockito,cglib
accountsservice,polkit
pcp-import-ganglia2pcp,pcp-libs
pcp-testsuite,bzip2
recode,info
mingw32-gcc,mingw32-filesystem
resource-agents,bash
resource-agents,gawk
accountsservice,libgcc
plymouth-plugin-space-flares,plymouth
texlive-polyglossia,texlive-tools
resource-agents,grep
nbdkit-tmpdisk-plugin,nbdkit-server
mariadb-server,zlib
qt5-qtbase-gui,cups-libs
dtkwidget,xcb-util
xorg-x11-server-Xdmx,glibc
xorg-x11-server-Xvfb,glibc
tog-pegasus,libstdc++
pinentry-gnome3,pinentry
perl-encoding,perl-Filter
libreoffice-langpack-uk,libreoffice-help-uk
systemd-udev,bash
libreoffice-langpack-sk,libreoffice-help-sk
kwin-common,kf5-kglobalaccel-libs
resource-agents,lvm2
evince-browser-plugin,cairo
cpp,info
apache-commons-collections-testframework,apache-commons-collections
eog,zlib
guice-extensions,maven-source-plugin
gnome-settings-daemon,nss
texlive-arabxetex,texlive-fontspec
kf5-kwallet,glibc
glibc-utils,bash
kf5-kjobwidgets,libgcc
clutter-gst3,gstreamer1-plugins-base
clutter-gst2,gstreamer1-plugins-base
mingw64-freetype,mingw64-filesystem
mingw32-freetype,mingw32-filesystem
rsyslog-mmkubernetes,libcurl
perl-Socket6,perl-libs
setroubleshoot,python3-libreport
google-noto-serif-devanagari-fonts,google-noto-fonts-common
rsyslog-mmkubernetes,rsyslog
glib2,zlib
jackson-databind,jackson-core
python3-pillow,freetype
mingw32-pcre,mingw32-filesystem
vino,cairo
python38-Cython,glibc
openblas-openmp,libgcc
pacemaker-cli,bzip2-libs
zsh,bash
pki-servlet-engine,javapackages-tools
mod_security,apr-util
librbd1,boost-date-time
net-snmp-perl,perl-JSON
libcmis,boost-date-time
texlive-passivetex,texlive-url
perl-libintl-perl,perl
libreport-plugin-reportuploader,xmlrpc-c-client
perl-Role-Tiny,perl-Exporter
perl-File-stat,perl-Exporter
perl-FileCache,perl-Exporter
perl-File-Find,perl-Exporter
perl-File-Copy,perl-Exporter
git-instaweb,git
perl-File-Path,perl-Exporter
python2-urllib3,python2-ipaddress
kf5-kconfigwidgets,glibc
libdde-file-manager,glibc
onboard,gdk-pixbuf2
ipa-server,oddjob
man-db,zlib
gimp-devel-tools,cairo
xorg-x11-server-Xorg,libXdmcp
libreoffice-voikko,python3-libvoikko
libreoffice-langpack-tr,autocorr-tr
libreoffice-langpack-fr,autocorr-fr
gnome-logs,cairo-gobject
libdde-file-manager,glib2
maven-settings,plexus-containers-container-default
emacs-lucid,libjpeg-turbo
libreoffice-langpack-sr,autocorr-sr
libreoffice-langpack-hr,autocorr-hr
perl-B-Hooks-EndOfScope,perl-constant
uid_wrapper,pkgconf-pkg-config
ntfs-3g,ntfs-3g-libs
xmvn-minimal,slf4j
bacula-storage,openssl-libs
nss-softokn-freebl,bash
gedit-plugin-wordcompletion,cairo-gobject
nbdkit-python-plugin,libgcc
fcitx-qt5,libgcc
bind9.16-utils,bind9.16-libs
dde-disk-mount-plugin,glibmm24
pidgin-sipe,purple-sipe
urw-base35-standard-symbols-ps-fonts,xorg-x11-server-utils
tlog,bash
texlive-dvisvgm,libgcc
clutter-gtk,cairo
lorax,glibc
qt5-qtsvg,libgcc
gimp,libgs
python3-libguestfs,libguestfs
libpfm-static,libpfm
java-1.8.0-alibaba-dragonwell-fastdebug,java-1.8.0-alibaba-dragonwell-headless-fastdebug
openmpi,libpsm2
fcitx-libs,dbus-libs
dde-calendar,qt5-qtbase-gui
velocity,apache-commons-collections
ipa-server,gssproxy
pcp-gui,pcp-libs
NetworkManager-wwan,ModemManager
bind-pkcs11-libs,libmaxminddb
python3-into-dbus-python,python3-dbus
sssd-ad,libldb
net-snmp-agent-libs,lm_sensors-libs
openhpi,systemd
libreoffice-x11,libXext
freeglut,libXext
lorax,glib2
xsettingsd,glibc
mousetweaks,libX11
ipa-client,libcollection
eth-tools-basic,librdmacm
oddjob,dbus-libs
sanlock,shadow-utils
osbuild-selinux,osbuild
perl-Encode-Locale,perl-Exporter
texlive-collection-latex,texlive-babel-english
thermald,libevdev
pki-servlet-4.0-api,java-1.8.0-openjdk-headless
libreport-plugin-bugzilla,satyr
perl-core,perl-Storable
gcc-toolset-11-binutils,libgcc
gcc-toolset-10-binutils,libgcc
graphviz,xorg-x11-fonts-ISO8859-1-100dpi
perl,perl-Tie-Memoize
kf5-plasma,libgcc
udica,platform-python
krb5-server,libcom_err
libreoffice-core,libreoffice-ure
libreoffice-base,libreoffice-ure
abrt-addon-pstoreoops,abrt-addon-kerneloops
php-intl,libstdc++
qemu-kvm-block-curl,libgcc
clutter,mesa-libgbm
kf5-kservice,qt5-qtbase
sushi,bash
freeradius,glibc
fence-agents-intelmodular,fence-agents-common
cmake,libgcc
samba-pidl,perl-interpreter
cmake-gui,expat
pcp-pmda-news,bash
pcp-pmda-bash,bash
pcp-pmda-json,bash
pcp-pmda-pdns,bash
kf5-plasma,kf5-kconfigwidgets
kf5-karchive,glibc
libreoffice-math,bash
hwloc-gui,hwloc-libs
samyak-devanagari-fonts,samyak-fonts-common
libnice-gstreamer1,gstreamer1
mesa-libxatracker,llvm-libs
ipa-server-trust-ad,bash
libreoffice-langpack-gl,hyphen-gl
ncurses-libs,glibc
numactl-libs,glibc
nmstate-libs,glibc
libucil,alsa-lib
mysql-server,glibc
389-ds-base,libdb-utils
libgio-qt,libsigc++20
thunderbird,zlib
cogl,mesa-libgbm
maven-plugin-registry,plexus-utils
torque,torque-libs
gcc-toolset-10-ltrace,elfutils-libs
frei0r-plugins-opencv,opencv-core
gcc-toolset-11-ltrace,elfutils-libs
qt5-qtwebchannel-examples,qt5-qtbase
hspell,perl-libs
perl-Pod-LaTeX,perl
flatpak-libs,ostree-libs
sblim-sfcb,perl-libwww-perl
flatpak-builder,json-glib
python2-scipy,python2-libs
mingw32-bzip2,mingw32-filesystem
pcs,python3-pycurl
mousetweaks,gdk-pixbuf2
maven-doxia-module-confluence,javapackages-filesystem
eog,gsettings-desktop-schemas
gcc-toolset-10-strace,gcc-toolset-10-runtime
evemu-libs,glibc
exiv2-libs,glibc
flatpak-builder,libcurl
xmvn-subst,bash
perl-ExtUtils-MM-Utils,perl-libs
openssl-ibmpkcs11,glibc
pcp-libs,pcp-conf
libxslt,glibc
libxml2,glibc
libpsm2,glibc
mingw64-cairo,mingw64-libpng
libreoffice-pdfimport,libreoffice-ure
hyperv-tools,platform-python
libxmlb,glibc
xapian-core-libs,zlib
libpeas,glibc
gnuplot,qt5-qtbase
python3-qt5-base,bash
qt5-qtquickcontrols2-examples,libstdc++
eog,libpeas-gtk
realmd,polkit-libs
boost-stacktrace,libgcc
iscsi-initiator-utils,glibc
texlive-caption,texlive-graphics
hostname,bash
pcp-pmda-gluster,pcp
qt5-qtwayland,libglvnd-egl
qt5-qtwayland,libglvnd-glx
gcc-toolset-11-strace,bzip2-libs
sssd-common,pam
gcc-toolset-10-strace,bzip2-libs
wqy-unibit-fonts,fontpackages-filesystem
perl-core,perl-Exporter
python3-setools,libsepol
texlive-fancyvrb,texlive-graphics
git-email,git
java-11-alibaba-dragonwell-javadoc,chkconfig
rust-analysis,rust-std-static
gtk-vnc2,gdk-pixbuf2
libxkbfile,libX11
unique,cairo
perl-Test-NoWarnings,perl-libs
libdmapsharing,avahi-libs
perl-bignum,perl-Exporter
xmvn-subst,javapackages-filesystem
mod_auth_openidc,libcurl
texlive-was,texlive-base
clucene-core,zlib
rpcbind,systemd-libs
perl-Filter-Simple,perl
libreoffice-filters,libreoffice-core
evolution-data-server,libsecret
gnome-settings-daemon,libcanberra-gtk3
poppler,libgcc
qatzip,qatlib
texlive-mptopdf,coreutils
poppler,libpng
maven-plugin-registry,plexus-containers-container-default
plymouth-plugin-script,systemd-libs
python3-subversion,libxcrypt
assertj-core-javadoc,javapackages-filesystem
fence-agents-all,fence-virt
fabtests,glibc
clutter-gst3,libdrm
clutter-gst2,libdrm
gssproxy,glibc
redhat-lsb-languages,perl-Env
rshim,glibc
cronie-anacron,bash
dde-qt5xcb-plugin,qt5-qtbase
cheese,atk
ldns,openssl-libs
nfs-utils,device-mapper-libs
dbus-daemon,glibc
texlive-passivetex,texlive-marvosym
eclipse-platform,atinject
copy-jdk-configs,lua
po4a,perl-Getopt-Long
iptables,libpcap
kf5-kconfig-core,libstdc++
tix,environment-modules
maven-script,maven-plugin-registry
pcs-snmp,bash
dde-polkit-agent,dtkgui
clutter-gtk,libwayland-egl
mariadb-backup,mariadb-server
intel-cmt-cat,bash
rubygem-xmlrpc,ruby-libs
fcitx-configtool,glib2
libcurl-minimal,libcom_err
NetworkManager-libreswan-gnome,glib2
kf5-kinit,kf5-kwidgetsaddons
texlive-context,perl-libs
librsvg2-tools,atk
kf5-kiconthemes,kf5-kitemviews
galera,nmap-ncat
libblockdev-mdraid,libbytesize
libreoffice-langpack-uk,mythes-uk
NetworkManager-libreswan-gnome,glibc
NetworkManager-libreswan-gnome,cairo
gcc-toolset-10-gcc-gdb-plugin,gcc-toolset-10-gcc
NetworkManager-libreswan-gnome,pango
gnuplot,fontconfig
fcitx-configtool,glibc
freeradius-sqlite,glibc
perl-Capture-Tiny,perl-Carp
abrt-gui-libs,cairo
gnome-remote-desktop,bash
perl-Time-Local,perl-Carp
perl-Time-Piece,perl-Carp
perl-Time-HiRes,perl-Carp
gnome-initial-setup,libX11
chrony,gnutls
dotnet-sdk-3.0,aspnetcore-runtime-3.0
device-mapper-event,libselinux
xorg-x11-server-Xephyr,xcb-util-wm
cheese-libs,libwayland-egl
cheese,glibc
dhcp-client,dhcp-common
texlive-dvipdfmx,texlive-base
mpitests-mvapich2-psm2,libstdc++
kwin,qt5-qtx11extras
cheese,glib2
pcp-pmda-roomtemp,pcp
rasqal,pcre
plexus-archiver,plexus-io
perl,perl-Module-Load
ant-apache-regexp,java-1.8.0-openjdk-headless
maven-lib,sisu
maven-compiler-plugin,plexus-languages
postfix,ModemManager
perl-Module-Build,perl-Getopt-Long
perl-Archive-Tar,perl-Pod-Usage
postfix,cyrus-sasl-lib
libquadmath,glibc
gcc-toolset-10-systemtap-server,libgcc
gcc-toolset-11-systemtap-server,libgcc
gcc-toolset-11-systemtap-client,libgcc
gcc-toolset-10-systemtap-client,libgcc
sqlite-libs,glibc
deepin-devicemanager,dmidecode
dde-api,glib2
cheese,gnome-desktop3
perl-ExtUtils-MakeMaker,perl-Encode
util-linux,bash
squid,libdb
perl-IPC-Run,perl-Scalar-List-Utils
vsftpd,logrotate
systemd-journal-remote,libgcc
djvulibre-libs,glibc
libkkc,libkkc-common
cairomm,freetype
virt-viewer,spice-gtk3
timedatex,libselinux
po4a,perl-libs
dde-api,glibc
dlm-lib,glibc
imlib2,zlib
gtk3,cairo-gobject
clufter-lib-general,bash
oddjob-mkhomedir,pam
libknet1-crypto-nss-plugin,libknet1
perl-XML-SAX-Base,perl-Carp
perl,perl-Module-CoreList
oddjob-mkhomedir,sed
dde-dock-onboard-plugin,dtkgui
perl-LDAP,perl-constant
gimp,pango
adwaita-qt5,libgcc
cryptsetup,libuuid
mstflint,boost-system
gnome-shell-extension-panel-favorites,gnome-shell-extension-common
libguestfs-appliance,kmod
mrtg,perl-IO
libserf,openldap
libuser,openldap
texlive-t2,texlive-kpathsea
libcurl,openldap
sushi,freetype
python2-py,python2-setuptools
driverctl,coreutils
po4a,bash
virt-v2v,gawk
virt-v2v,libxml2
samba,bash
pcp-testsuite,pcp-pmda-mic
pcp-testsuite,pcp-pmda-lio
pcp-testsuite,pcp-pmda-bcc
libreoffice-langpack-nl,hyphen-nl
perl-core,perl-IO-Socket-IP
boost-coroutine,boost-thread
java-1.8.0-alibaba-dragonwell-devel-slowdebug,zlib
lockdev,shadow-utils
xorg-x11-server-Xnest,openssl-libs
opencv-core,libstdc++
avahi-libs,dbus-libs
fuse-overlayfs,glibc
mingw64-zlib-static,mingw64-zlib
libreport,libreport-filesystem
