idx,name
325,exempi
326,exiv2
327,expat
328,expect
329,extra-cmake-modules
330,f32-backgrounds
331,faad2
332,fabtests
333,fapolicyd
334,farstream02
335,fcitx
336,fcitx-configtool
337,fcitx-qt5
338,fcoe-utils
339,fence-agents
340,fence-virt
341,ffmpeg
342,ffmpegthumbnailer
343,fftw
344,fido-device-onboard
345,file
346,file-roller
347,filesystem
348,findutils
349,fio
350,fipscheck
351,firefox
352,firewalld
353,flac
354,flatpak
355,flatpak-builder
356,flex
357,fltk
358,flute
359,fontawesome-fonts
360,fontconfig
361,fontforge
362,fontpackages
363,fonts-tweak-tool
364,foomatic
365,foomatic-db
366,fpc-srpm-macros
367,fprintd
368,freeglut
369,freeimage
370,freeipmi
371,freerdp
372,freetype
373,frei0r-plugins
374,fribidi
375,frr
376,fstrm
377,fuse
378,fuse-overlayfs
379,fuse-sshfs
380,fwupd
381,fwupdate
382,fxload
383,gamin
384,gavl
385,gawk
386,gc
387,gcab
388,gcc
389,gcc-toolset-10
390,gcc-toolset-10-annobin
391,gcc-toolset-10-binutils
392,gcc-toolset-10-dwz
393,gcc-toolset-10-dyninst
394,gcc-toolset-10-elfutils
395,gcc-toolset-10-gcc
396,gcc-toolset-10-gdb
397,gcc-toolset-10-ltrace
398,gcc-toolset-10-make
399,gcc-toolset-10-strace
400,gcc-toolset-10-systemtap
401,gcc-toolset-10-valgrind
402,gcc-toolset-11
403,gcc-toolset-11-annobin
404,gcc-toolset-11-binutils
405,gcc-toolset-11-dwz
406,gcc-toolset-11-dyninst
407,gcc-toolset-11-elfutils
408,gcc-toolset-11-gcc
409,gcc-toolset-11-gdb
410,gcc-toolset-11-ltrace
411,gcc-toolset-11-make
412,gcc-toolset-11-strace
413,gcc-toolset-11-systemtap
414,gcc-toolset-11-valgrind
415,gcc-toolset-9
416,gcc-toolset-9-annobin
417,gcc-toolset-9-binutils
418,gcc-toolset-9-dwz
419,gcc-toolset-9-dyninst
420,gcc-toolset-9-elfutils
421,gcc-toolset-9-gcc
422,gcc-toolset-9-gdb
423,gcc-toolset-9-ltrace
424,gcc-toolset-9-make
425,gcc-toolset-9-strace
426,gcc-toolset-9-systemtap
427,gcc-toolset-9-valgrind
428,gcr
429,gd
430,gdb
431,gdbm
432,gdisk
433,gdk-pixbuf2
434,gdm
435,gedit
436,gedit-plugins
437,gegl
438,gegl04
439,genwqe-tools
440,geoclue2
441,geocode-glib
442,gettext
443,gfbgraph
444,gflags
445,gfs2-utils
446,ghc-srpm-macros
447,ghostscript
448,giflib
449,gimp
450,gio-qt
451,git
452,git-lfs
453,gjs
454,glade
