idx,name,y_true,y_predict,跨层依赖数,被跨层依赖数,分类错误,反向依赖数,被反向依赖数
129,chkconfig,系统,系统,0,0,0,1,0
130,chrome-gnome-shell,其它,其它,0,0,0,0,0
131,chrony,应用,核心,5,0,-1,1,1
132,chrpath,应用,应用,1,0,0,0,0
133,cifs-utils,应用,应用,0,0,0,0,0
134,cim-schema,应用,其它,0,0,1,0,0
135,cjose,应用,系统,2,0,-1,0,0
136,clang,应用,系统,0,0,-1,0,0
137,cldr-emoji-annotation,应用,其它,0,0,1,0,0
138,clevis,应用,系统,0,0,-1,0,0
139,cloud-init,其它,系统,0,0,-1,0,0
140,clucene,应用,应用,0,0,0,0,0
141,clufter,系统,系统,0,0,0,0,0
142,clutter,系统,核心,0,1,-1,14,0
143,clutter-gst2,系统,应用,0,0,1,0,0
144,clutter-gst3,系统,应用,0,0,1,0,0
145,clutter-gtk,系统,应用,0,0,1,0,0
146,cmake,应用,系统,2,0,-1,0,0
147,cockpit,应用,核心,7,0,-1,1,0
148,cockpit-appstream,应用,其它,0,0,1,0,0
149,cockpit-composer,应用,应用,0,0,0,0,0
150,cockpit-session-recording,应用,其它,0,0,1,0,0
151,codemodel,应用,应用,0,0,0,0,0
152,cogl,应用,应用,1,0,0,0,1
153,color-filesystem,应用,其它,0,0,1,0,0
154,colord,应用,核心,2,0,-1,1,1
155,colord-gtk,应用,应用,0,0,0,0,0
156,compat-libtiff3,应用,应用,0,0,0,0,0
157,conntrack-tools,应用,核心,0,0,-1,0,0
158,container-exception-logger,应用,其它,0,0,1,0,0
159,containerd,应用,其它,0,0,1,0,0
160,convmv,应用,核心,0,0,-1,0,0
161,copy-jdk-configs,应用,其它,0,0,1,0,0
162,coreutils,系统,系统,0,3,0,0,6
163,corosync,应用,其它,0,0,1,0,0
164,corosync-qdevice,应用,其它,0,0,1,0,0
165,cpio,系统,系统,0,0,0,0,0
166,cppcheck,应用,应用,1,0,0,0,0
167,cppunit,应用,应用,1,0,0,0,0
168,cracklib,系统,系统,0,0,0,0,1
169,crash,应用,应用,2,0,0,0,0
170,crash-gcore-command,应用,应用,0,0,0,0,0
171,crash-ptdump-command,应用,应用,0,0,0,0,0
172,crash-trace-command,应用,应用,0,0,0,0,0
173,crda,应用,核心,2,0,-1,1,1
174,createrepo_c,应用,系统,5,0,-1,0,1
175,cronie,系统,系统,0,0,0,1,0
176,crontabs,系统,系统,0,0,0,0,0
177,crypto-policies,系统,系统,0,0,0,0,0
178,cryptsetup,核心,核心,0,2,0,3,0
179,cscope,应用,系统,2,0,-1,0,0
180,ctags,应用,系统,1,0,-1,0,0
181,culmus-fonts,其它,其它,0,0,0,0,0
182,cups,应用,核心,9,0,-1,2,3
183,cups-filters,应用,应用,0,0,0,0,0
184,cups-pk-helper,应用,其它,0,0,1,0,0
185,curl,系统,核心,0,2,-1,2,1
186,cyrus-imapd,系统,其它,0,0,1,0,0
187,cyrus-sasl,系统,系统,0,0,0,0,0
188,dav1d,应用,应用,0,0,0,0,0
189,dbus,其它,核心,7,0,-1,0,30
190,dbus-c++,系统,其它,0,0,1,0,0
191,dbus-glib,系统,应用,0,0,1,0,0
192,dbus-python,应用,其它,0,0,1,0,0
193,dbusmenu-qt,其它,其它,0,0,0,0,0
194,dbxtool,系统,核心,0,0,-1,1,0
195,dconf,系统,应用,0,2,1,1,0
196,dconf-editor,应用,其它,0,0,1,0,0
197,dcraw,应用,应用,1,0,0,0,0
198,dde,其它,其它,0,0,0,0,0
199,dde-account-faces,其它,其它,0,0,0,0,0
200,dde-api,其它,应用,0,0,-1,0,0
201,dde-calendar,其它,其它,0,0,0,0,0
202,dde-clipboard,其它,其它,0,0,0,0,0
203,dde-control-center,其它,其它,0,0,0,0,0
204,dde-daemon,其它,其它,0,0,0,0,0
205,dde-device-formatter,其它,应用,0,0,-1,0,0
206,dde-dock,其它,其它,0,0,0,0,0
207,dde-file-manager,其它,其它,0,0,0,0,0
208,dde-kwin,其它,其它,0,0,0,0,0
209,dde-launcher,其它,应用,0,0,-1,0,0
210,dde-network-utils,其它,其它,0,0,0,0,0
211,dde-polkit-agent,其它,其它,0,0,0,0,0
212,dde-printer,其它,其它,0,0,0,0,0
213,dde-qt-dbus-factory,其它,其它,0,0,0,0,0
214,dde-qt5integration,其它,其它,0,0,0,0,0
215,dde-qt5platform-plugins,其它,应用,0,0,-1,0,0
216,dde-server-industry-config,其它,应用,0,0,-1,0,0
217,dde-session-shell,其它,其它,0,0,0,0,0
218,dde-session-ui,其它,其它,0,0,0,0,0
219,deepin-anything,其它,应用,0,0,-1,0,0
220,deepin-authenticate,其它,应用,0,0,-1,0,0
221,deepin-boot-maker,其它,其它,0,0,0,0,0
222,deepin-calculator,其它,其它,0,0,0,0,0
223,deepin-compressor,其它,其它,0,0,0,0,0
